PID,Gender information,Age (the number of full years),Mother tongue,Profession/field of studies,Are you right or left-handed?,Which hand do you normally use the mouse with?,"In this study, which language did you type in?",Do you have a normal or corrected vision?,At which age did you start working with computers? ,Do you have permanent access to a computer:,"How many fingers do you usually use for typing, including thumbs?",Do you use the touch typing systems with all 10 fingers?,How many years of experience do you have in using the touch typing systems with all 10 fingers?,Do you use touch typing every time you type something on a computer?,Have you taken a course to learn typing on a computer?,Have you taught touch typing to yourself?,What did you do to learn touch typing?,Are you able to type without looking at the keyboard?,On how many days per week do you use a computer?,How many hours do you usually use a computer on a normal day?,How many hours per day do you usually spend typing in your free time?,How many hours per day do you usually spend typing at work?,Do you type in languages other than your mother tongue?,Which languages do you type in other than your mother language?,How many hours do you spend weekly typing in a foreign language?,How many years have you been typing in a foreign language?,Do you use a different keyboard layout for different languages? Which?,What tasks do you perform when using the keyboard?,"typing papers, reports, etc.",typing e-mails ,chatting,Is the ability to type fast important to you?,Do you specifically practice typing?,How do you practice?,How often do you practice?,How many hours at once do you practice?
42,Male,54,German,Project Manager IT,Right-handed,Right hand,German,Corrected,16,"At home, At work",10,Yes,40,Yes,Yes,No,,Yes,5,6,1,1,Yes,"english, french",4,30,no,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting",0,10,1,4,No,,,
44,Male,23,Dutch,Computer Science,Right-handed,Right hand,English,Corrected,7,At home;At work,10,Yes,2,No,Yes,Yes,keybr is a website that trains you for touch typing.,Yes,7,12,2,8,Yes,English,40,16,"Not different, all qwerty (US International)",Browsing the web;E-mailing;Programming;Chatting;Thesis report or paper writing,3,2,10,5,Yes,keybr,"sporadically, about once every 3 months",1
45,Male,23,"English, Hungarian",Computer Scientist,Right-handed,Right hand,English,Corrected,9,At home,10,Yes,13,Yes,Yes,No,,Yes,7,10,2,0,No,,,,,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",1,1,10,5,No,,,
49,Male,27,German,Economics,Right-handed,Right hand,English,Normal,14,"At home, At work",9,Yes,10,Yes,No,Yes,type more and more over the years. ,Yes,7,6,1,3,Yes,"English, Spanish",20,15,No,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing, Gaming",35,2,4,5,No,,,
50,Male,24,German,Psychology,Left-handed,Right hand,English,Normal,10,"At home, At work",10,Yes,8,Yes,Yes,No,,Yes,7,5,1,4,Yes,English,15,8,No,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",3,5,3,5,No,,,
51,Male,26,German,Banking and Finance,Right-handed,Right hand,English,Corrected,10,"At home, At work",9,Yes,10,Yes,Yes,No,,Yes,6,4,1,3,Yes,English,1,8,No,"Browsing the web, E-mailing, Using Microsoft Office, Chatting, Thesis report or paper writing",2,5,6,4,No,,,
0,Female,51,German,Enologist / Journalist,Right-handed,Right hand,German,Normal,23,"At home, At work",4,No,,,No,Yes,e-learning,No,6,5,2,5,Yes,"English, French",1,5,none,"Browsing the web, E-mailing, Using Microsoft Office, Thesis report or paper writing",18,4,3,5,No,,,
1,Female,22,Chinese,Data Science,Right-handed,Right hand,English,Corrected,11,"At home, At work",8,No,,,No,No,,No,7,10,0,2,Yes,English,20,8,No,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",12,1,1,3,No,,,
2,Female,26,Chinese,Information System,Right-handed,Right hand,English,Corrected,18,At home,9,No,,,No,Yes,Learn from a picture about finger position ,No,7,8,10,8,Yes,English,30,8,NO,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",5,2,30,5,No,,,
5,Male,28,English,Computer Science,Right-handed,Right hand,English,Corrected,18,"At home, At work",10,No,,,No,Yes,Typed a lot. Most of my job is on the computer and I limit my mouse use as much as possible.,Yes,6,9,1,8,No,,,,,"Browsing the web, Programming, Chatting, Slack app",7,7,7,5,No,,,
7,Female,25,English,Teacher,Right-handed,Right hand,English,Corrected,7,"At home, At work",8,No,,,Yes,Yes,Blindfold typing,Yes,4,6,3,18,Yes,Filipino,4,2,No,"Browsing the web, E-mailing, Using Microsoft Office, Chatting, Thesis report or paper writing",12,1,2,4,No,,,
9,Male,25,German ,Business Administration,Right-handed,Right hand,English,Corrected,11,At home,6,No,,Yes,Yes,No,,Yes,7,8,0.5,7.5,Yes,English,4,4,no,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",10,1,10,5,No,,,
11,Female,25,Chinese Mandarin,Business Administration,Right-handed,Right hand,English,Normal,7,At home,6,No,,,No,No,,Yes,7,6,1,1,Yes,"English, German",6,7,No,"E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",5,3,4,3,No,,,
14,Male,28,Chinese,Marine science,Right-handed,Right hand,English,Normal,20,At work,9,No,,,No,Yes,typing game,Yes,7,6,1,3,No,,,,,"E-mailing, Using Microsoft Office, Chatting",20,5,30,3,No,,,
15,Female,25,Chinese,Student,Right-handed,Right hand,English,Normal,8,At home,10,No,,,Yes,No,,Yes,6,5,1,2,Yes,English,4,7,No.,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",4,0.5,6,4,No,,,
16,Male,30,German,Quantitative Developer,Right-handed,Right hand,German,Normal,10,"At home, At work",10,No,,,Yes,Yes,Online tools,Yes,7,8,1,8,Yes,English,4,5,no,"Browsing the web, E-mailing, Programming, Chatting, Thesis report or paper writing",0.5,1,0.5,4,No,,,
17,Female,26,Chinese,Data Science,Right-handed,Right hand,English,Normal,6,At home,8,No,,,No,No,,No,7,7,3,5,Yes,English,26,7,no,"E-mailing, Programming, Chatting, Thesis report or paper writing",3,2,5,4,No,,,
19,Male,20,Catalan,Estudying,Right-handed,Right hand,English,Corrected,13,At home,6,No,,,No,No,,Yes,7,2,0,2,Yes,English,5,5,No,Browsing the web;E-mailing;Programming;Chatting;Thesis report or paper writing,5,1,2,4,No,,,
20,Female,27,Italian,Master student,Right-handed,Right hand,English,Normal,12,At home;At work,8,No,,,No,Yes,did some online exercises,Yes,7,9,1,8,Yes,English,8,10,No,Browsing the web;E-mailing;Programming;Using Microsoft Office;Chatting;Thesis report or paper writing,1,2,2,5,No,,,
21,Male,21,English,Data Science,Right-handed,Right hand,English,Corrected,7,"At home, At work",10,No,,,Yes,Yes,"Type without looking at the keyboard, slowly getting better as I develop muscle memory",Yes,7,12,3,9,No,,,,,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",9,1,1,4,No,,,
22,Male,27,Tagalog English,IT,Right-handed,Right hand,English,Corrected,8,"At home, At work",10,No,,,No,No,,Yes,7,8,3,4,No,,,,,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing, Computer Games",10,1,20,4,No,,,
23,Male,39,spanish,Bachelor,Right-handed,Right hand,German,Normal,17,At home;At work,8,No,,,No,No,,Yes,7,5,1,3,Yes,german,2,18,no,Browsing the web;E-mailing;Using Microsoft Office;Chatting,2,5,3,4,No,,,
24,Male,22,Chinese,Master student/Finance,Right-handed,Right hand,English,Corrected,10,At home;At work,7,No,,,No,No,,No,6,5,1,4,Yes,English,20,7,No,E-mailing;Programming;Using Microsoft Office;Thesis report or paper writing,20,3,0,3,No,,,
25,Male,24,English,Informatics,Right-handed,Right hand,English,Normal,3,At home,10,No,,,No,No,,Yes,7,13,3,5,Yes,"German, Urdu, French, and Italian ",1,5,No,Browsing the web;E-mailing;Programming;Chatting;Thesis report or paper writing,1,1,2,5,Yes,Websites. ,Rarely.,0
34,Male,22,Spanish and Catalan,Master Student/Data Science,Right-handed,Right hand,English,Corrected,15,At home;At work,9,No,,,No,No,,Yes,5,5,0,8,Yes,English,15,3,No,Browsing the web;E-mailing;Programming;Using Microsoft Office;Chatting;Thesis report or paper writing,3,1,5,4,No,,,
36,Female,23,German,Banking and Finance,Right-handed,Right hand,English,Normal,10,At home,8,No,,,Yes,No,,Yes,7,9,0.5,3,Yes,English,25,7,No,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",5,3,3,4,No,,,
37,Male,25,Swiss-German,Psychology,Right-handed,Right hand,English,Corrected,12,At home,6,No,,,Yes,No,,Yes,7,6,4,4,Yes,English,10,10,No,Browsing the web;E-mailing;Programming;Using Microsoft Office;Chatting;Thesis report or paper writing,4,2,4,4,No,,,
40,Male,25,German,Educational Science / Sociology,Left-handed,Right hand,German,Normal,9,At home,10,No,,,Yes,No,,Yes,7,6,3,3,Yes,"English, French",7,12,No,Browsing the web;E-mailing;Using Microsoft Office;Chatting;Thesis report or paper writing,4,1,7,4,No,,,
41,Female,25,Chinese,Information Management,Right-handed,Right hand,English,Corrected,9,"At home, At work",8,No,,,No,No,,Yes,7,4,1,2,Yes,English,7,7,"yes, english keyboard","Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",2,2,4,4,No,,,
43,Male,32,Spanish,Informatics,Right-handed,Right hand,English,Corrected,10,At home;At work,6,No,,,No,Yes,Write essays,Yes,7,8,1,7,Yes,English,25,4,No,Browsing the web;E-mailing;Using Microsoft Office;Thesis report or paper writing,8,6,1,4,No,,,
46,Female,26,Chinese,Informatics,Right-handed,Right hand,English,Corrected,10,"At home, At work",10,No,,,No,No,,No,7,8,2,4,Yes,English,40,15,German,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",8,2,3,4,No,,,
47,Male,28,Filipino,Computer Science,Right-handed,Right hand,English,Corrected,5,"At home, At work",10,No,,,No,Yes,Playing typing games,Yes,7,16,2,12,Yes,English,12,20,QWERTZ,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",3,2,5,2,No,,,
48,Female,25,german,computer science,Right-handed,Right hand,English,Normal,16,"At home, At work",10,No,,,Yes,Yes,,No,7,10,2,8,Yes,english,70,6,no,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",2,2,1,4,No,,,
52,Female,21,Chinese,Mathematics,Right-handed,Right hand,English,Corrected,9,At home,8,No,,,No,No,,Yes,7,8,5,3,Yes,"English, Korean",30,4,No,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",8,1,4,3,No,,,
53,Male,24,German,Computer Science,Right-handed,Right hand,German,Normal,11,"At home, At work",6,No,,,No,No,,Yes,7,12,1,5,Yes,English,4,7,No,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing, Gaming",1,1,0.5,4,No,,,
