input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1440587646.201	915322	0	0	0	d	d	dawuva	17.28	468.29	dawuva	Random	0	0	0.75
1440587646.389	915322	0	1	187	a	a	dawuva	17.28	468.29	dawuva	Random	187	0	0.75
1440587646.919	915322	0	2	529	w	w	dawuva	17.28	468.29	dawuva	Random	717	0	0.75
1440587647.418	915322	0	3	499	u	u	dawuva	17.28	468.29	dawuva	Random	1217	0	0.75
1440587648.167	915322	0	4	749	n	n	dawuva	17.28	468.29	dawuva	Random	1966	0	0.75
1440587648.791	915322	0	5	623		BackSpace	dawuva	17.28	468.29	dawuva	Random	2589	0	0.75
1440587648.916	915322	0	6	125	v	v	dawuva	17.28	468.29	dawuva	Random	2714	0	0.75
1440587648.978	915322	0	7	62	a	a	dawuva	17.28	468.29	dawuva	Random	2776	0	0.75
1440587650.103	915322	1	0	0	j	j	jvhslb	26.52	395.66	jvhslb	Random	0	0	1
1440587650.509	915322	1	1	406	v	v	jvhslb	26.52	395.66	jvhslb	Random	406	0	1
1440587651.164	915322	1	2	654	h	h	jvhslb	26.52	395.66	jvhslb	Random	1061	0	1
1440587651.383	915322	1	3	218	s	s	jvhslb	26.52	395.66	jvhslb	Random	1279	0	1
1440587651.663	915322	1	4	280	l	l	jvhslb	26.52	395.66	jvhslb	Random	1560	0	1
1440587651.913	915322	1	5	250	b	b	jvhslb	26.52	395.66	jvhslb	Random	1810	0	1
1440587653.348	915322	2	0	0	q	q	qslpag	28.49	358.46	qslpag	Random	0	0	1
1440587653.723	915322	2	1	375	s	s	qslpag	28.49	358.46	qslpag	Random	375	0	1
1440587654.097	915322	2	2	373	l	l	qslpag	28.49	358.46	qslpag	Random	748	0	1
1440587654.596	915322	2	3	499	p	p	qslpag	28.49	358.46	qslpag	Random	1247	0	1
1440587654.721	915322	2	4	125	a	a	qslpag	28.49	358.46	qslpag	Random	1372	0	1
1440587655.033	915322	2	5	312	g	g	qslpag	28.49	358.46	qslpag	Random	1684	0	1
1440587656.063	915322	3	0	0	p	p	pshegog	38.46	285.94	pshegog	Random	0	0	1
1440587656.406	915322	3	1	342	s	s	pshegog	38.46	285.94	pshegog	Random	342	0	1
1440587656.749	915322	3	2	343	h	h	pshegog	38.46	285.94	pshegog	Random	686	0	1
1440587656.905	915322	3	3	155	e	e	pshegog	38.46	285.94	pshegog	Random	842	0	1
1440587657.342	915322	3	4	437	g	g	pshegog	38.46	285.94	pshegog	Random	1279	0	1
1440587657.467	915322	3	5	125	o	o	pshegog	38.46	285.94	pshegog	Random	1404	0	1
1440587657.623	915322	3	6	155	g	g	pshegog	38.46	285.94	pshegog	Random	1559	0	1
1440587658.777	915322	4	0	0	h	h	hyohcy	32.04	332.47	hyohcy	Random	0	0	1
1440587659.027	915322	4	1	250	y	y	hyohcy	32.04	332.47	hyohcy	Random	250	0	1
