input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1440055660.615	221357	0	0	0	a	a	aekbru	42.74	230.92	aekbru	Random	0	0	1
1440055660.74	221357	0	1	125	e	e	aekbru	42.74	230.92	aekbru	Random	125	0	1
1440055660.958	221357	0	2	217	k	k	aekbru	42.74	230.92	aekbru	Random	342	0	1
1440055661.239	221357	0	3	281	b	b	aekbru	42.74	230.92	aekbru	Random	624	0	1
1440055661.489	221357	0	4	250	r	r	aekbru	42.74	230.92	aekbru	Random	874	0	1
1440055661.738	221357	0	5	248	u	u	aekbru	42.74	230.92	aekbru	Random	1122	0	1
1440055663.985	221357	1	0	0	l	l	lctddy	53.04	183.54	lctddy	Random	0	0	1
1440055664.11	221357	1	1	125	c	c	lctddy	53.04	183.54	lctddy	Random	125	0	1
1440055664.328	221357	1	2	218	t	t	lctddy	53.04	183.54	lctddy	Random	343	0	1
1440055664.515	221357	1	3	187	d	d	lctddy	53.04	183.54	lctddy	Random	530	0	1
1440055664.702	221357	1	4	186	d	d	lctddy	53.04	183.54	lctddy	Random	717	0	1
1440055664.89	221357	1	5	188	y	y	lctddy	53.04	183.54	lctddy	Random	905	0	1
1440055666.169	221357	2	0	0	v	v	vrutaa	40.51	253.3	vrutaa	Random	0	0	1
1440055666.574	221357	2	1	404	r	r	vrutaa	40.51	253.3	vrutaa	Random	404	0	1
1440055666.824	221357	2	2	250	u	u	vrutaa	40.51	253.3	vrutaa	Random	654	0	1
1440055667.011	221357	2	3	187	t	t	vrutaa	40.51	253.3	vrutaa	Random	842	0	1
1440055667.198	221357	2	4	187	a	a	vrutaa	40.51	253.3	vrutaa	Random	1029	0	1
1440055667.354	221357	2	5	156	a	a	vrutaa	40.51	253.3	vrutaa	Random	1185	0	1
1440055668.696	221357	3	0	0	v	v	vunbgd	45.24	237.8	vunbgd	Random	0	0	1
1440055668.758	221357	3	1	61	u	u	vunbgd	45.24	237.8	vunbgd	Random	61	0	1
1440055668.914	221357	3	2	156	n	n	vunbgd	45.24	237.8	vunbgd	Random	217	0	1
1440055669.289	221357	3	3	375	b	b	vunbgd	45.24	237.8	vunbgd	Random	592	0	1
1440055669.57	221357	3	4	280	g	g	vunbgd	45.24	237.8	vunbgd	Random	873	0	1
1440055669.757	221357	3	5	187	d	d	vunbgd	45.24	237.8	vunbgd	Random	1060	0	1
1440055671.161	221357	4	0	0	g	g	gvjbhj	27.48	383.79	gvjbhj	Random	0	0	1
1440055671.41	221357	4	1	249	v	v	gvjbhj	27.48	383.79	gvjbhj	Random	249	0	1
1440055671.941	221357	4	2	530	j	j	gvjbhj	27.48	383.79	gvjbhj	Random	779	0	1
1440055672.409	221357	4	3	467	b	b	gvjbhj	27.48	383.79	gvjbhj	Random	1247	0	1
1440055672.502	221357	4	4	93	h	h	gvjbhj	27.48	383.79	gvjbhj	Random	1341	0	1
