input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1438942301.072	364976	0	0	0	Shift_L	Shift_L	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	0	0	0.953488372093023
1438942301.228	364976	0	1	155	L	L	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	155	0	0.953488372093023
1438942301.446	364976	0	2	218	ä	adiaeresis	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	374	0	0.953488372093023
1438942301.727	364976	0	3	280	h	h	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	654	0	0.953488372093023
1438942301.852	364976	0	4	125	e	e	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	779	0	0.953488372093023
1438942302.101	364976	0	5	249	t	t	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	1029	0	0.953488372093023
1438942302.226	364976	0	6	125	t	t	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	1154	0	0.953488372093023
1438942302.32	364976	0	7	93	ä	adiaeresis	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	1247	0	0.953488372093023
1438942302.507	364976	0	8	187	i	i	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	1434	0	0.953488372093023
1438942302.601	364976	0	9	94	s	s	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	1529	0	0.953488372093023
1438942302.694	364976	0	10	92	i	i	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	1621	0	0.953488372093023
1438942302.819	364976	0	11	125	t	t	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	1746	0	0.953488372093023
1438942302.913	364976	0	12	94	k	k	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	1841	0	0.953488372093023
1438942302.975	364976	0	13	61	o	o	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	1902	0	0.953488372093023
1438942303.1	364976	0	14	125	_	space	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	2027	0	0.953488372093023
1438942304.317	364976	0	15	1217	b	b	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	3244	0	0.953488372093023
1438942304.847	364976	0	16	529	n	n	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	3774	0	0.953488372093023
1438942305.097	364976	0	17	250	a	a	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	4024	0	0.953488372093023
1438942305.253	364976	0	18	156	d	d	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	4180	0	0.953488372093023
1438942305.533	364976	0	19	279	t	t	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	4460	0	0.953488372093023
1438942305.908	364976	0	20	375	v	v	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	4835	0	0.953488372093023
1438942306.095	364976	0	21	187	_	space	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	5023	0	0.953488372093023
1438942306.22	364976	0	22	125	m	m	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	5148	0	0.953488372093023
1438942306.313	364976	0	23	92	i	i	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	5240	0	0.953488372093023
1438942306.438	364976	0	24	125	n	n	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	5365	0	0.953488372093023
1438942306.532	364976	0	25	94	u	u	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	5460	0	0.953488372093023
1438942307.156	364976	0	26	623	l	l	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	6083	0	0.953488372093023
1438942307.281	364976	0	27	125	l	l	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	6208	0	0.953488372093023
1438942307.374	364976	0	28	93	e	e	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	6302	0	0.953488372093023
1438942307.499	364976	0	29	125	_	space	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	6427	0	0.953488372093023
1438942307.655	364976	0	30	155	s	s	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	6582	0	0.953488372093023
1438942307.78	364976	0	31	125	ä	adiaeresis	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	6707	0	0.953488372093023
1438942307.967	364976	0	32	187	h	h	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	6894	0	0.953488372093023
1438942308.718	364976	0	33	750	k	k	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	7645	0	0.953488372093023
1438942309.186	364976	0	34	468	ö	odiaeresis	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	8114	0	0.953488372093023
1438942309.498	364976	0	35	311	p	p	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	8425	0	0.953488372093023
1438942309.623	364976	0	36	125	o	o	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	8550	0	0.953488372093023
1438942309.779	364976	0	37	156	s	s	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	8707	0	0.953488372093023
1438942309.872	364976	0	38	92	t	t	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	8799	0	0.953488372093023
1438942309.935	364976	0	39	62	i	i	Lähettäisitko bnadtv minulle sähköpostia?	52.21	310.33	Lähettäisitko bnadtv minulle sähköpostia?	Mix	8862	0	0.953488372093023
