input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1439803533.093	497021	0	0	0	b	b	bsrbqj	11.23	954.43	bsrbqj	Random	0	0	1
1439803533.592	497021	0	1	499	s	s	bsrbqj	11.23	954.43	bsrbqj	Random	499	0	1
1439803534.372	497021	0	2	779	r	r	bsrbqj	11.23	954.43	bsrbqj	Random	1279	0	1
1439803536.057	497021	0	3	1684	b	b	bsrbqj	11.23	954.43	bsrbqj	Random	2963	0	1
1439803536.712	497021	0	4	654	q	q	bsrbqj	11.23	954.43	bsrbqj	Random	3618	0	1
1439803537.367	497021	0	5	655	j	j	bsrbqj	11.23	954.43	bsrbqj	Random	4274	0	1
1439803541.548	497021	1	0	0	v	v	vwmbqq	18.31	622.42	vwmbqq	Random	0	0	1
1439803541.954	497021	1	1	405	w	w	vwmbqq	18.31	622.42	vwmbqq	Random	405	0	1
1439803542.266	497021	1	2	312	m	m	vwmbqq	18.31	622.42	vwmbqq	Random	717	0	1
1439803543.389	497021	1	3	1122	b	b	vwmbqq	18.31	622.42	vwmbqq	Random	1840	0	1
1439803544.013	497021	1	4	624	q	q	vwmbqq	18.31	622.42	vwmbqq	Random	2464	0	1
1439803544.169	497021	1	5	155	q	q	vwmbqq	18.31	622.42	vwmbqq	Random	2620	0	1
1439803547.85	497021	2	0	0	c	c	cxwxyz	7.93	1438.14	cxwxyz	Random	0	0	1
1439803548.225	497021	2	1	375	x	x	cxwxyz	7.93	1438.14	cxwxyz	Random	375	0	1
1439803549.598	497021	2	2	1373	w	w	cxwxyz	7.93	1438.14	cxwxyz	Random	1748	0	1
1439803552.218	497021	2	3	2619	x	x	cxwxyz	7.93	1438.14	cxwxyz	Random	4368	0	1
1439803553.186	497021	2	4	968	y	y	cxwxyz	7.93	1438.14	cxwxyz	Random	5336	0	1
1439803553.903	497021	2	5	717	z	z	cxwxyz	7.93	1438.14	cxwxyz	Random	6053	0	1
1439803557.585	497021	3	0	0	v	v	vunbgd	25.22	434.82	vunbgd	Random	0	0	1
1439803557.803	497021	3	1	217	u	u	vunbgd	25.22	434.82	vunbgd	Random	217	0	1
1439803557.928	497021	3	2	125	n	n	vunbgd	25.22	434.82	vunbgd	Random	342	0	1
1439803558.271	497021	3	3	342	b	b	vunbgd	25.22	434.82	vunbgd	Random	685	0	1
1439803558.77	497021	3	4	499	g	g	vunbgd	25.22	434.82	vunbgd	Random	1184	0	1
1439803559.488	497021	3	5	717	d	d	vunbgd	25.22	434.82	vunbgd	Random	1902	0	1
1439803563.544	497021	4	0	0	z	z	zfcspx	10.61	987.66	zfcspx	Random	0	0	1
1439803564.106	497021	4	1	562	f	f	zfcspx	10.61	987.66	zfcspx	Random	562	0	1
1439803565.697	497021	4	2	1591	c	c	zfcspx	10.61	987.66	zfcspx	Random	2153	0	1
1439803566.165	497021	4	3	467	s	s	zfcspx	10.61	987.66	zfcspx	Random	2621	0	1
1439803567.101	497021	4	4	936	p	p	zfcspx	10.61	987.66	zfcspx	Random	3557	0	1
1439803568.068	497021	4	5	967	x	x	zfcspx	10.61	987.66	zfcspx	Random	4524	0	1
1439803571.999	497021	5	0	0	j	j	jvhslb	15.23	836.19	jvhslb	Random	0	0	1
1439803572.467	497021	5	1	467	v	v	jvhslb	15.23	836.19	jvhslb	Random	467	0	1
