input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1441969494.964	216367	0	0	0	a	a	jaolwh	12.12	330.26	jaolwh	Random	0	0	0.428571428571429
1441969495.338	216367	0	1	374		BackSpace	jaolwh	12.12	330.26	jaolwh	Random	374	0	0.428571428571429
1441969495.588	216367	0	2	250	j	j	jaolwh	12.12	330.26	jaolwh	Random	624	0	0.428571428571429
1441969495.744	216367	0	3	155	a	a	jaolwh	12.12	330.26	jaolwh	Random	779	0	0.428571428571429
1441969495.962	216367	0	4	217	o	o	jaolwh	12.12	330.26	jaolwh	Random	997	0	0.428571428571429
1441969496.212	216367	0	5	250	l	l	jaolwh	12.12	330.26	jaolwh	Random	1247	0	0.428571428571429
1441969496.867	216367	0	6	655	q	q	jaolwh	12.12	330.26	jaolwh	Random	1903	0	0.428571428571429
1441969497.179	216367	0	7	311	h	h	jaolwh	12.12	330.26	jaolwh	Random	2214	0	0.428571428571429
1441969497.522	216367	0	8	343		BackSpace	jaolwh	12.12	330.26	jaolwh	Random	2558	0	0.428571428571429
1441969497.709	216367	0	9	187		BackSpace	jaolwh	12.12	330.26	jaolwh	Random	2745	0	0.428571428571429
1441969497.959	216367	0	10	250	w	w	jaolwh	12.12	330.26	jaolwh	Random	2995	0	0.428571428571429
1441969498.146	216367	0	11	186	j	j	jaolwh	12.12	330.26	jaolwh	Random	3181	0	0.428571428571429
1441969498.552	216367	0	12	406		BackSpace	jaolwh	12.12	330.26	jaolwh	Random	3588	0	0.428571428571429
1441969498.926	216367	0	13	374	h	h	jaolwh	12.12	330.26	jaolwh	Random	3962	0	0.428571428571429
1441969500.268	216367	1	0	0	e	e	evvphq	14.12	758.44	evvphq	Random	0	0	1
1441969500.829	216367	1	1	561	v	v	evvphq	14.12	758.44	evvphq	Random	561	0	1
1441969501.89	216367	1	2	1061	v	v	evvphq	14.12	758.44	evvphq	Random	1622	0	1
1441969502.982	216367	1	3	1092	p	p	evvphq	14.12	758.44	evvphq	Random	2714	0	1
1441969503.388	216367	1	4	405	h	h	evvphq	14.12	758.44	evvphq	Random	3120	0	1
1441969503.668	216367	1	5	279	q	q	evvphq	14.12	758.44	evvphq	Random	3400	0	1
1441969505.603	216367	2	0	0	a	a	aekbru	27.97	370.5	aekbru	Random	0	0	1
1441969505.79	216367	2	1	187	e	e	aekbru	27.97	370.5	aekbru	Random	187	0	1
1441969506.383	216367	2	2	592	k	k	aekbru	27.97	370.5	aekbru	Random	779	0	1
1441969506.757	216367	2	3	374	b	b	aekbru	27.97	370.5	aekbru	Random	1154	0	1
1441969507.069	216367	2	4	312	r	r	aekbru	27.97	370.5	aekbru	Random	1466	0	1
1441969507.319	216367	2	5	250	u	u	aekbru	27.97	370.5	aekbru	Random	1716	0	1
1441969508.567	216367	3	0	0	a	a	awnjvd	16.91	487.77	awnjvd	Random	0	0	0.75
1441969509.035	216367	3	1	468	e	e	awnjvd	16.91	487.77	awnjvd	Random	468	0	0.75
1441969509.659	216367	3	2	623		BackSpace	awnjvd	16.91	487.77	awnjvd	Random	1092	0	0.75
1441969509.815	216367	3	3	156	w	w	awnjvd	16.91	487.77	awnjvd	Random	1248	0	0.75
1441969510.064	216367	3	4	248	n	n	awnjvd	16.91	487.77	awnjvd	Random	1496	0	0.75
1441969511	216367	3	5	936	j	j	awnjvd	16.91	487.77	awnjvd	Random	2433	0	0.75
1441969511.281	216367	3	6	280	v	v	awnjvd	16.91	487.77	awnjvd	Random	2713	0	0.75
1441969511.406	216367	3	7	125	d	d	awnjvd	16.91	487.77	awnjvd	Random	2838	0	0.75
