input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1438943632.318	364976	0	0	0	Shift_L	Shift_L	zfcspx	16.72	468.27	zfcspx	Random	0	0	0.545454545454545
1438943633.067	364976	0	1	748	z	z	zfcspx	16.72	468.27	zfcspx	Random	748	0	0.545454545454545
1438943633.691	364976	0	2	624	f	f	zfcspx	16.72	468.27	zfcspx	Random	1372	0	0.545454545454545
1438943634.284	364976	0	3	592	c	c	zfcspx	16.72	468.27	zfcspx	Random	1965	0	0.545454545454545
1438943634.658	364976	0	4	374	s	s	zfcspx	16.72	468.27	zfcspx	Random	2339	0	0.545454545454545
1438943634.908	364976	0	5	250	p	p	zfcspx	16.72	468.27	zfcspx	Random	2589	0	0.545454545454545
1438943635.251	364976	0	6	342	z	z	zfcspx	16.72	468.27	zfcspx	Random	2932	0	0.545454545454545
1438943635.844	364976	0	7	593	x	x	zfcspx	16.72	468.27	zfcspx	Random	3526	0	0.545454545454545
1438943636.156	364976	0	8	311		BackSpace	zfcspx	16.72	468.27	zfcspx	Random	3837	0	0.545454545454545
1438943636.468	364976	0	9	312		BackSpace	zfcspx	16.72	468.27	zfcspx	Random	4149	0	0.545454545454545
1438943636.624	364976	0	10	156	x	x	zfcspx	16.72	468.27	zfcspx	Random	4305	0	0.545454545454545
1438943638.215	364976	1	0	0	p	p	psdrwk	26.34	378.76	psdrwk	Random	0	0	0.75
1438943638.34	364976	1	1	125	s	s	psdrwk	26.34	378.76	psdrwk	Random	125	0	0.75
1438943638.465	364976	1	2	125	d	d	psdrwk	26.34	378.76	psdrwk	Random	250	0	0.75
1438943638.901	364976	1	3	436	e	e	psdrwk	26.34	378.76	psdrwk	Random	686	0	0.75
1438943639.432	364976	1	4	530		BackSpace	psdrwk	26.34	378.76	psdrwk	Random	1217	0	0.75
1438943639.525	364976	1	5	93	r	r	psdrwk	26.34	378.76	psdrwk	Random	1310	0	0.75
1438943640.118	364976	1	6	592	w	w	psdrwk	26.34	378.76	psdrwk	Random	1903	0	0.75
1438943640.493	364976	1	7	375	k	k	psdrwk	26.34	378.76	psdrwk	Random	2278	0	0.75
1438943641.928	364976	2	0	0	w	w	weqppe	37.71	406	weqppe	Random	0	0	1
1438943642.053	364976	2	1	125	e	e	weqppe	37.71	406	weqppe	Random	125	0	1
1438943642.864	364976	2	2	811	q	q	weqppe	37.71	406	weqppe	Random	936	0	1
1438943643.145	364976	2	3	280	p	p	weqppe	37.71	406	weqppe	Random	1217	0	1
1438943643.301	364976	2	4	156	p	p	weqppe	37.71	406	weqppe	Random	1373	0	1
1438943643.519	364976	2	5	217	e	e	weqppe	37.71	406	weqppe	Random	1591	0	1
1438943644.736	364976	3	0	0	a	a	aekbru	50.63	246.35	aekbru	Random	0	0	1
1438943644.923	364976	3	1	187	e	e	aekbru	50.63	246.35	aekbru	Random	187	0	1
1438943645.079	364976	3	2	155	k	k	aekbru	50.63	246.35	aekbru	Random	342	0	1
1438943645.422	364976	3	3	342	b	b	aekbru	50.63	246.35	aekbru	Random	685	0	1
1438943645.703	364976	3	4	281	r	r	aekbru	50.63	246.35	aekbru	Random	967	0	1
1438943645.921	364976	3	5	217	u	u	aekbru	50.63	246.35	aekbru	Random	1184	0	1
1438943647.419	364976	4	0	0	p	p	ophxwt	17.33	387.55	ophxwt	Random	0	0	0.5
1438943647.731	364976	4	1	312		BackSpace	ophxwt	17.33	387.55	ophxwt	Random	312	0	0.5
1438943647.887	364976	4	2	156	o	o	ophxwt	17.33	387.55	ophxwt	Random	468	0	0.5
1438943648.043	364976	4	3	155	p	p	ophxwt	17.33	387.55	ophxwt	Random	624	0	0.5
1438943648.636	364976	4	4	592	h	h	ophxwt	17.33	387.55	ophxwt	Random	1217	0	0.5
1438943649.416	364976	4	5	779	x	x	ophxwt	17.33	387.55	ophxwt	Random	1996	0	0.5
1438943650.009	364976	4	6	593	q	q	ophxwt	17.33	387.55	ophxwt	Random	2590	0	0.5
1438943650.321	364976	4	7	312	t	t	ophxwt	17.33	387.55	ophxwt	Random	2902	0	0.5
1438943650.57	364976	4	8	248		BackSpace	ophxwt	17.33	387.55	ophxwt	Random	3151	0	0.5
1438943650.695	364976	4	9	125		BackSpace	ophxwt	17.33	387.55	ophxwt	Random	3276	0	0.5
1438943650.757	364976	4	10	62	w	w	ophxwt	17.33	387.55	ophxwt	Random	3338	0	0.5
1438943650.882	364976	4	11	125	t	t	ophxwt	17.33	387.55	ophxwt	Random	3463	0	0.5
1438943652.161	364976	5	0	0	v	v	vrutaa	64.1	195.43	vrutaa	Random	0	0	1
1438943652.442	364976	5	1	280	r	r	vrutaa	64.1	195.43	vrutaa	Random	280	0	1
1438943652.661	364976	5	2	219	u	u	vrutaa	64.1	195.43	vrutaa	Random	500	0	1
1438943652.785	364976	5	3	124	t	t	vrutaa	64.1	195.43	vrutaa	Random	624	0	1
1438943652.941	364976	5	4	155	a	a	vrutaa	64.1	195.43	vrutaa	Random	779	0	1
1438943653.097	364976	5	5	155	a	a	vrutaa	64.1	195.43	vrutaa	Random	935	0	1
1438943654.221	364976	6	0	0	v	v	vtljjo	64.03	207.2	vtljjo	Random	0	0	1
1438943654.565	364976	6	1	344	t	t	vtljjo	64.03	207.2	vtljjo	Random	344	0	1
1438943654.69	364976	6	2	125	l	l	vtljjo	64.03	207.2	vtljjo	Random	469	0	1
1438943654.908	364976	6	3	217	j	j	vtljjo	64.03	207.2	vtljjo	Random	687	0	1
1438943655.064	364976	6	4	155	j	j	vtljjo	64.03	207.2	vtljjo	Random	842	0	1
1438943655.158	364976	6	5	94	o	o	vtljjo	64.03	207.2	vtljjo	Random	937	0	1
1438943657.435	364976	7	0	0	v	v	vrphmee	43.53	306.61	vrphmee	Random	0	0	1
1438943657.966	364976	7	1	531	r	r	vrphmee	43.53	306.61	vrphmee	Random	531	0	1
1438943658.215	364976	7	2	248	p	p	vrphmee	43.53	306.61	vrphmee	Random	779	0	1
1438943658.558	364976	7	3	343	h	h	vrphmee	43.53	306.61	vrphmee	Random	1123	0	1
1438943658.808	364976	7	4	250	m	m	vrphmee	43.53	306.61	vrphmee	Random	1373	0	1
1438943658.964	364976	7	5	155	e	e	vrphmee	43.53	306.61	vrphmee	Random	1529	0	1
1438943659.089	364976	7	6	125	e	e	vrphmee	43.53	306.61	vrphmee	Random	1654	0	1
1438943660.025	364976	8	0	0	l	l	blpsdt	21.86	295.92	blpsdt	Random	0	0	0.5
1438943660.306	364976	8	1	280		BackSpace	blpsdt	21.86	295.92	blpsdt	Random	280	0	0.5
1438943660.711	364976	8	2	404	n	n	blpsdt	21.86	295.92	blpsdt	Random	685	0	0.5
1438943660.93	364976	8	3	219	l	l	blpsdt	21.86	295.92	blpsdt	Random	904	0	0.5
1438943661.242	364976	8	4	312		BackSpace	blpsdt	21.86	295.92	blpsdt	Random	1217	0	0.5
1438943661.366	364976	8	5	123		BackSpace	blpsdt	21.86	295.92	blpsdt	Random	1340	0	0.5
1438943661.429	364976	8	6	62	b	b	blpsdt	21.86	295.92	blpsdt	Random	1403	0	0.5
1438943661.585	364976	8	7	156	l	l	blpsdt	21.86	295.92	blpsdt	Random	1559	0	0.5
1438943662.209	364976	8	8	624	p	p	blpsdt	21.86	295.92	blpsdt	Random	2184	0	0.5
1438943662.334	364976	8	9	125	s	s	blpsdt	21.86	295.92	blpsdt	Random	2309	0	0.5
1438943662.427	364976	8	10	92	d	d	blpsdt	21.86	295.92	blpsdt	Random	2401	0	0.5
1438943662.77	364976	8	11	342	t	t	blpsdt	21.86	295.92	blpsdt	Random	2744	0	0.5
1438943664.081	364976	9	0	0	v	v	vwmbqq	22.11	365.04	vwmbqq	Random	0	0	0.6
1438943664.674	364976	9	1	592	q	q	vwmbqq	22.11	365.04	vwmbqq	Random	592	0	0.6
1438943664.674	364976	9	2	0	w	w	vwmbqq	22.11	365.04	vwmbqq	Random	592	0	0.6
1438943665.11	364976	9	3	435		BackSpace	vwmbqq	22.11	365.04	vwmbqq	Random	1028	0	0.6
1438943665.266	364976	9	4	156		BackSpace	vwmbqq	22.11	365.04	vwmbqq	Random	1184	0	0.6
1438943665.298	364976	9	5	32	w	w	vwmbqq	22.11	365.04	vwmbqq	Random	1217	0	0.6
1438943665.859	364976	9	6	560	m	m	vwmbqq	22.11	365.04	vwmbqq	Random	1777	0	0.6
1438943666.202	364976	9	7	342	b	b	vwmbqq	22.11	365.04	vwmbqq	Random	2120	0	0.6
1438943666.608	364976	9	8	406	q	q	vwmbqq	22.11	365.04	vwmbqq	Random	2526	0	0.6
1438943666.795	364976	9	9	187	q	q	vwmbqq	22.11	365.04	vwmbqq	Random	2713	0	0.6
1438943667.856	364976	10	0	0	a	a	awnjvd	25.64	389.06	awnjvd	Random	0	0	0.75
1438943668.137	364976	10	1	281	w	w	awnjvd	25.64	389.06	awnjvd	Random	281	0	0.75
1438943668.574	364976	10	2	436	n	n	awnjvd	25.64	389.06	awnjvd	Random	717	0	0.75
1438943668.574	364976	10	3	0	_	space	awnjvd	25.64	389.06	awnjvd	Random	717	0	0.75
1438943669.291	364976	10	4	717		BackSpace	awnjvd	25.64	389.06	awnjvd	Random	1434	0	0.75
1438943669.634	364976	10	5	343	j	j	awnjvd	25.64	389.06	awnjvd	Random	1778	0	0.75
1438943669.915	364976	10	6	280	v	v	awnjvd	25.64	389.06	awnjvd	Random	2059	0	0.75
1438943670.196	364976	10	7	281	d	d	awnjvd	25.64	389.06	awnjvd	Random	2340	0	0.75
1438943671.85	364976	11	0	0	x	x	xlndns	37.71	267.56	xlndns	Random	0	0	0.75
1438943671.85	364976	11	1	0	c	c	xlndns	37.71	267.56	xlndns	Random	0	0	0.75
