input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1439988116.695	372392	9	1	155	e	e	weqppe	45.24	248.83	weqppe	Random	155	0	1
1439988116.882	372392	9	2	187	q	q	weqppe	45.24	248.83	weqppe	Random	342	0	1
1439988117.35	372392	9	3	467	p	p	weqppe	45.24	248.83	weqppe	Random	810	0	1
1439988117.475	372392	9	4	125	p	p	weqppe	45.24	248.83	weqppe	Random	935	0	1
1439988117.6	372392	9	5	125	e	e	weqppe	45.24	248.83	weqppe	Random	1060	0	1
1439988120.033	372392	10	0	0	p	p	pshegog	64.1	165.23	pshegog	Random	0	0	1
1439988120.189	372392	10	1	155	s	s	pshegog	64.1	165.23	pshegog	Random	155	0	1
1439988120.377	372392	10	2	188	h	h	pshegog	64.1	165.23	pshegog	Random	344	0	1
1439988120.47	372392	10	3	92	e	e	pshegog	64.1	165.23	pshegog	Random	437	0	1
1439988120.72	372392	10	4	250	g	g	pshegog	64.1	165.23	pshegog	Random	687	0	1
1439988120.876	372392	10	5	155	o	o	pshegog	64.1	165.23	pshegog	Random	842	0	1
1439988120.969	372392	10	6	93	g	g	pshegog	64.1	165.23	pshegog	Random	936	0	1
1439988122.966	372392	11	0	0	e	e	evvphq	46.6	221.11	evvphq	Random	0	0	1
1439988123.278	372392	11	1	312	v	v	evvphq	46.6	221.11	evvphq	Random	312	0	1
1439988123.372	372392	11	2	93	v	v	evvphq	46.6	221.11	evvphq	Random	405	0	1
1439988123.528	372392	11	3	156	p	p	evvphq	46.6	221.11	evvphq	Random	562	0	1
1439988123.809	372392	11	4	280	h	h	evvphq	46.6	221.11	evvphq	Random	842	0	1
1439988123.996	372392	11	5	187	q	q	evvphq	46.6	221.11	evvphq	Random	1029	0	1
1439988125.712	372392	12	0	0	u	u	upgkww	32.06	429.15	upgkww	Random	0	0	1
1439988125.961	372392	12	1	249	p	p	upgkww	32.06	429.15	upgkww	Random	249	0	1
1439988126.086	372392	12	2	125	g	g	upgkww	32.06	429.15	upgkww	Random	374	0	1
1439988126.991	372392	12	3	904	k	k	upgkww	32.06	429.15	upgkww	Random	1279	0	1
1439988127.085	372392	12	4	94	w	w	upgkww	32.06	429.15	upgkww	Random	1373	0	1
1439988127.209	372392	12	5	124	w	w	upgkww	32.06	429.15	upgkww	Random	1497	0	1
1439988130.454	372392	13	0	0	p	p	psdrwk	41.56	250.9	psdrwk	Random	0	0	1
1439988130.548	372392	13	1	94	s	s	psdrwk	41.56	250.9	psdrwk	Random	94	0	1
1439988130.891	372392	13	2	342	d	d	psdrwk	41.56	250.9	psdrwk	Random	437	0	1
1439988131.078	372392	13	3	187	r	r	psdrwk	41.56	250.9	psdrwk	Random	624	0	1
1439988131.265	372392	13	4	187	w	w	psdrwk	41.56	250.9	psdrwk	Random	811	0	1
1439988131.609	372392	13	5	343	k	k	psdrwk	41.56	250.9	psdrwk	Random	1154	0	1
1439988134.573	372392	14	0	0	k	k	kmrynj	40.51	244.73	kmrynj	Random	0	0	1
1439988134.822	372392	14	1	249	m	m	kmrynj	40.51	244.73	kmrynj	Random	249	0	1
1439988135.041	372392	14	2	218	r	r	kmrynj	40.51	244.73	kmrynj	Random	467	0	1
1439988135.197	372392	14	3	156	y	y	kmrynj	40.51	244.73	kmrynj	Random	624	0	1
1439988135.415	372392	14	4	217	n	n	kmrynj	40.51	244.73	kmrynj	Random	842	0	1
1439988135.758	372392	14	5	342	j	j	kmrynj	40.51	244.73	kmrynj	Random	1184	0	1
1439988137.381	372392	15	0	0	v	v	vrutaa	59.19	169.61	vrutaa	Random	0	0	1
1439988137.599	372392	15	1	217	r	r	vrutaa	59.19	169.61	vrutaa	Random	217	0	1
1439988137.755	372392	15	2	156	u	u	vrutaa	59.19	169.61	vrutaa	Random	374	0	1
1439988137.849	372392	15	3	93	t	t	vrutaa	59.19	169.61	vrutaa	Random	467	0	1
1439988138.067	372392	15	4	217	a	a	vrutaa	59.19	169.61	vrutaa	Random	685	0	1
1439988138.192	372392	15	5	125	a	a	vrutaa	59.19	169.61	vrutaa	Random	810	0	1
1439988140.688	372392	16	0	0	j	j	jaolwh	69.97	143.56	jaolwh	Random	0	0	1
1439988140.781	372392	16	1	92	a	a	jaolwh	69.97	143.56	jaolwh	Random	92	0	1
1439988140.906	372392	16	2	125	o	o	jaolwh	69.97	143.56	jaolwh	Random	217	0	1
1439988141.093	372392	16	3	187	l	l	jaolwh	69.97	143.56	jaolwh	Random	404	0	1
1439988141.187	372392	16	4	94	w	w	jaolwh	69.97	143.56	jaolwh	Random	499	0	1
1439988141.374	372392	16	5	187	h	h	jaolwh	69.97	143.56	jaolwh	Random	686	0	1
1439988144.931	372392	17	0	0	y	y	yadgnv	30.17	296.21	yadgnv	Random	0	0	0.75
1439988144.993	372392	17	1	62	a	a	yadgnv	30.17	296.21	yadgnv	Random	62	0	0.75
1439988145.149	372392	17	2	155	d	d	yadgnv	30.17	296.21	yadgnv	Random	217	0	0.75
1439988145.461	372392	17	3	312	g	g	yadgnv	30.17	296.21	yadgnv	Random	529	0	0.75
1439988145.649	372392	17	4	187	n	n	yadgnv	30.17	296.21	yadgnv	Random	717	0	0.75
1439988145.742	372392	17	5	93	q	q	yadgnv	30.17	296.21	yadgnv	Random	811	0	0.75
1439988146.397	372392	17	6	654		BackSpace	yadgnv	30.17	296.21	yadgnv	Random	1466	0	0.75
