input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1439554420.518	851866	0	0	0	p	p	psdrwk	14.38	822.87	psdrwk	Random	0	0	1
1439554420.83	851866	0	1	312	s	s	psdrwk	14.38	822.87	psdrwk	Random	312	0	1
1439554421.111	851866	0	2	281	d	d	psdrwk	14.38	822.87	psdrwk	Random	593	0	1
1439554422.702	851866	0	3	1590	r	r	psdrwk	14.38	822.87	psdrwk	Random	2184	0	1
1439554423.357	851866	0	4	655	w	w	psdrwk	14.38	822.87	psdrwk	Random	2839	0	1
1439554423.856	851866	0	5	498	k	k	psdrwk	14.38	822.87	psdrwk	Random	3338	0	1
1439554426.54	851866	1	0	0	c	c	cxwxyz	6.99	1128.01	cxwxyz	Random	0	0	0.75
1439554427.382	851866	1	1	842	w	w	cxwxyz	6.99	1128.01	cxwxyz	Random	842	0	0.75
1439554428.131	851866	1	2	749		BackSpace	cxwxyz	6.99	1128.01	cxwxyz	Random	1591	0	0.75
1439554428.911	851866	1	3	779	x	x	cxwxyz	6.99	1128.01	cxwxyz	Random	2371	0	0.75
1439554429.566	851866	1	4	654	w	w	cxwxyz	6.99	1128.01	cxwxyz	Random	3026	0	0.75
1439554431.906	851866	1	5	2339	x	x	cxwxyz	6.99	1128.01	cxwxyz	Random	5365	0	0.75
1439554432.624	851866	1	6	718	y	y	cxwxyz	6.99	1128.01	cxwxyz	Random	6084	0	0.75
1439554433.404	851866	1	7	779	z	z	cxwxyz	6.99	1128.01	cxwxyz	Random	6864	0	0.75
1439554435.557	851866	2	0	0	j	j	jvhs1b	14.51	680.3	jvhs1b	Random	0	0	1
1439554436.461	851866	2	1	904	v	v	jvhs1b	14.51	680.3	jvhs1b	Random	904	0	1
1439554436.898	851866	2	2	437	h	h	jvhs1b	14.51	680.3	jvhs1b	Random	1341	0	1
1439554437.553	851866	2	3	654	s	s	jvhs1b	14.51	680.3	jvhs1b	Random	1996	0	1
1439554438.115	851866	2	4	562	1	1	jvhs1b	14.51	680.3	jvhs1b	Random	2558	0	1
1439554438.864	851866	2	5	749	b	b	jvhs1b	14.51	680.3	jvhs1b	Random	3307	0	1
1439554440.861	851866	3	0	0	e	e	evvphq	13.5	820.24	evvphq	Random	0	0	1
1439554441.547	851866	3	1	685	v	v	evvphq	13.5	820.24	evvphq	Random	685	0	1
1439554441.765	851866	3	2	218	v	v	evvphq	13.5	820.24	evvphq	Random	904	0	1
1439554442.608	851866	3	3	842	p	p	evvphq	13.5	820.24	evvphq	Random	1746	0	1
1439554443.013	851866	3	4	404	h	h	evvphq	13.5	820.24	evvphq	Random	2151	0	1
1439554444.417	851866	3	5	1404	q	q	evvphq	13.5	820.24	evvphq	Random	3555	0	1
1439554446.945	851866	4	0	0	j	j	jkgaqe	16.03	673.45	jkgaqe	Random	0	0	1
1439554447.413	851866	4	1	468	k	k	jkgaqe	16.03	673.45	jkgaqe	Random	468	0	1
1439554448.536	851866	4	2	1122	g	g	jkgaqe	16.03	673.45	jkgaqe	Random	1591	0	1
1439554448.941	851866	4	3	404	a	a	jkgaqe	16.03	673.45	jkgaqe	Random	1996	0	1
1439554449.69	851866	4	4	749	q	q	jkgaqe	16.03	673.45	jkgaqe	Random	2745	0	1
1439554449.94	851866	4	5	250	e	e	jkgaqe	16.03	673.45	jkgaqe	Random	2995	0	1
1439554451.749	851866	5	0	0	q	q	qslpag	21.36	518.8	qslpag	Random	0	0	1
1439554452.093	851866	5	1	343	s	s	qslpag	21.36	518.8	qslpag	Random	343	0	1
1439554452.405	851866	5	2	312	l	l	qslpag	21.36	518.8	qslpag	Random	655	0	1
1439554453.341	851866	5	3	936	p	p	qslpag	21.36	518.8	qslpag	Random	1592	0	1
1439554453.528	851866	5	4	187	a	a	qslpag	21.36	518.8	qslpag	Random	1779	0	1
1439554453.996	851866	5	5	467	g	g	qslpag	21.36	518.8	qslpag	Random	2246	0	1
1439554456.273	851866	6	0	0	p	p	blpsdt	9.16	728.37	blpsdt	Random	0	0	0.6
1439554456.461	851866	6	1	187	l	l	blpsdt	9.16	728.37	blpsdt	Random	187	0	0.6
1439554457.303	851866	6	2	842		BackSpace	blpsdt	9.16	728.37	blpsdt	Random	1029	0	0.6
1439554457.584	851866	6	3	281		BackSpace	blpsdt	9.16	728.37	blpsdt	Random	1311	0	0.6
1439554459.206	851866	6	4	1621	b	b	blpsdt	9.16	728.37	blpsdt	Random	2933	0	0.6
1439554459.393	851866	6	5	186	l	l	blpsdt	9.16	728.37	blpsdt	Random	3119	0	0.6
1439554460.08	851866	6	6	687	p	p	blpsdt	9.16	728.37	blpsdt	Random	3806	0	0.6
1439554460.829	851866	6	7	749	s	s	blpsdt	9.16	728.37	blpsdt	Random	4555	0	0.6
1439554461.265	851866	6	8	436	d	d	blpsdt	9.16	728.37	blpsdt	Random	4992	0	0.6
1439554461.515	851866	6	9	250	t	t	blpsdt	9.16	728.37	blpsdt	Random	5242	0	0.6
1439554463.73	851866	7	0	0	p	p	pshegog	28.69	392.14	pshegog	Random	0	0	1
1439554463.886	851866	7	1	155	s	s	pshegog	28.69	392.14	pshegog	Random	155	0	1
1439554464.261	851866	7	2	375	h	h	pshegog	28.69	392.14	pshegog	Random	530	0	1
1439554464.666	851866	7	3	404	e	e	pshegog	28.69	392.14	pshegog	Random	935	0	1
1439554465.353	851866	7	4	687	g	g	pshegog	28.69	392.14	pshegog	Random	1622	0	1
