input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1439543581.298	267678	0	0	0	q	q	qslpag	22.63	456.18	qslpag	Random	0	0	1
1439543581.579	267678	0	1	280	s	s	qslpag	22.63	456.18	qslpag	Random	280	0	1
1439543581.891	267678	0	2	312	l	l	qslpag	22.63	456.18	qslpag	Random	592	0	1
1439543582.265	267678	0	3	374	p	p	qslpag	22.63	456.18	qslpag	Random	967	0	1
1439543582.671	267678	0	4	405	a	a	qslpag	22.63	456.18	qslpag	Random	1372	0	1
1439543583.419	267678	0	5	747	g	g	qslpag	22.63	456.18	qslpag	Random	2120	0	1
1439543586.664	267678	1	0	0	b	b	bsrpqj	8.74	1184.92	bsrpqj	Random	0	0	1
1439543587.132	267678	1	1	467	s	s	bsrpqj	8.74	1184.92	bsrpqj	Random	467	0	1
1439543588.037	267678	1	2	904	r	r	bsrpqj	8.74	1184.92	bsrpqj	Random	1372	0	1
1439543589.878	267678	1	3	1841	p	p	bsrpqj	8.74	1184.92	bsrpqj	Random	3213	0	1
1439543591.032	267678	1	4	1154	q	q	bsrpqj	8.74	1184.92	bsrpqj	Random	4368	0	1
1439543592.155	267678	1	5	1122	j	j	bsrpqj	8.74	1184.92	bsrpqj	Random	5490	0	1
1439543594.776	267678	2	0	0	z	z	zjjrwa	16.72	644.68	zjjrwa	Random	0	0	1
1439543595.619	267678	2	1	842	j	j	zjjrwa	16.72	644.68	zjjrwa	Random	842	0	1
1439543595.806	267678	2	2	187	j	j	zjjrwa	16.72	644.68	zjjrwa	Random	1029	0	1
1439543596.555	267678	2	3	749	r	r	zjjrwa	16.72	644.68	zjjrwa	Random	1779	0	1
1439543597.397	267678	2	4	842	w	w	zjjrwa	16.72	644.68	zjjrwa	Random	2621	0	1
1439543597.647	267678	2	5	250	a	a	zjjrwa	16.72	644.68	zjjrwa	Random	2871	0	1
1439543599.737	267678	3	0	0	m	m	mkacsn	16.03	728.98	mkacsn	Random	0	0	1
1439543599.987	267678	3	1	250	k	k	mkacsn	16.03	728.98	mkacsn	Random	250	0	1
1439543600.236	267678	3	2	249	a	a	mkacsn	16.03	728.98	mkacsn	Random	499	0	1
1439543601.359	267678	3	3	1122	c	c	mkacsn	16.03	728.98	mkacsn	Random	1621	0	1
1439543602.451	267678	3	4	1092	s	s	mkacsn	16.03	728.98	mkacsn	Random	2713	0	1
1439543602.732	267678	3	5	281	n	n	mkacsn	16.03	728.98	mkacsn	Random	2995	0	1
1439543604.698	267678	4	0	0	o	o	odkfey	17.89	681.58	odkfey	Random	0	0	1
1439543605.072	267678	4	1	374	d	d	odkfey	17.89	681.58	odkfey	Random	374	0	1
1439543605.447	267678	4	2	375	k	k	odkfey	17.89	681.58	odkfey	Random	749	0	1
1439543606.819	267678	4	3	1371	f	f	odkfey	17.89	681.58	odkfey	Random	2121	0	1
1439543607.131	267678	4	4	312	e	e	odkfey	17.89	681.58	odkfey	Random	2433	0	1
1439543607.381	267678	4	5	250	y	y	odkfey	17.89	681.58	odkfey	Random	2683	0	1
1439543609.44	267678	5	0	0	h	h	huohcy	16.9	640.02	huohcy	Random	0	0	1
1439543609.721	267678	5	1	280	u	u	huohcy	16.9	640.02	huohcy	Random	280	0	1
1439543610.127	267678	5	2	406	o	o	huohcy	16.9	640.02	huohcy	Random	687	0	1
1439543610.969	267678	5	3	842	h	h	huohcy	16.9	640.02	huohcy	Random	1529	0	1
1439543611.968	267678	5	4	998	c	c	huohcy	16.9	640.02	huohcy	Random	2527	0	1
1439543612.28	267678	5	5	312	y	y	huohcy	16.9	640.02	huohcy	Random	2839	0	1
1439543614.027	267678	6	0	0	v	v	vtljjo	16.91	637.57	vtljjo	Random	0	0	1
1439543614.495	267678	6	1	467	t	t	vtljjo	16.91	637.57	vtljjo	Random	467	0	1
1439543615.431	267678	6	2	936	l	l	vtljjo	16.91	637.57	vtljjo	Random	1404	0	1
1439543616.304	267678	6	3	872	j	j	vtljjo	16.91	637.57	vtljjo	Random	2276	0	1
1439543616.492	267678	6	4	188	j	j	vtljjo	16.91	637.57	vtljjo	Random	2465	0	1
1439543616.866	267678	6	5	373	o	o	vtljjo	16.91	637.57	vtljjo	Random	2838	0	1
1439543618.894	267678	7	0	0	u	u	uogkww	13.86	1048.89	uogkww	Random	0	0	1
1439543619.144	267678	7	1	250	o	o	uogkww	13.86	1048.89	uogkww	Random	250	0	1
1439543621.39	267678	7	2	2246	g	g	uogkww	13.86	1048.89	uogkww	Random	2496	0	1
1439543621.92	267678	7	3	529	k	k	uogkww	13.86	1048.89	uogkww	Random	3026	0	1
1439543622.232	267678	7	4	312	w	w	uogkww	13.86	1048.89	uogkww	Random	3338	0	1
1439543622.357	267678	7	5	125	w	w	uogkww	13.86	1048.89	uogkww	Random	3463	0	1
1439543624.354	267678	8	0	0	v	v	vunbgd	9.62	1048.84	vunbgd	Random	0	0	1
1439543624.728	267678	8	1	373	u	u	vunbgd	9.62	1048.84	vunbgd	Random	373	0	1
1439543625.852	267678	8	2	1124	n	n	vunbgd	9.62	1048.84	vunbgd	Random	1497	0	1
1439543627.1	267678	8	3	1247	b	b	vunbgd	9.62	1048.84	vunbgd	Random	2745	0	1
1439543628.316	267678	8	4	1216	g	g	vunbgd	9.62	1048.84	vunbgd	Random	3961	0	1
1439543629.346	267678	8	5	1029	d	d	vunbgd	9.62	1048.84	vunbgd	Random	4991	0	1
1439543631.374	267678	9	0	0	n	n	nwmxxf	11.31	861.18	nwmxxf	Random	0	0	1
1439543632.092	267678	9	1	717	w	w	nwmxxf	11.31	861.18	nwmxxf	Random	717	0	1
1439543633.028	267678	9	2	936	m	m	nwmxxf	11.31	861.18	nwmxxf	Random	1654	0	1
1439543634.088	267678	9	3	1059	x	x	nwmxxf	11.31	861.18	nwmxxf	Random	2713	0	1
1439543634.962	267678	9	4	873	x	x	nwmxxf	11.31	861.18	nwmxxf	Random	3587	0	1
1439543635.617	267678	9	5	655	f	f	nwmxxf	11.31	861.18	nwmxxf	Random	4243	0	1
1439543638.924	267678	10	0	0	g	g	gvjbhj	16.19	633.39	gvjbhj	Random	0	0	1
1439543639.236	267678	10	1	312	v	v	gvjbhj	16.19	633.39	gvjbhj	Random	312	0	1
1439543639.798	267678	10	2	562	j	j	gvjbhj	16.19	633.39	gvjbhj	Random	874	0	1
1439543640.796	267678	10	3	997	b	b	gvjbhj	16.19	633.39	gvjbhj	Random	1871	0	1
1439543641.358	267678	10	4	562	h	h	gvjbhj	16.19	633.39	gvjbhj	Random	2434	0	1
1439543641.888	267678	10	5	529	j	j	gvjbhj	16.19	633.39	gvjbhj	Random	2963	0	1
1439543643.76	267678	11	0	0	w	w	weqppe	17.68	662.22	weqppe	Random	0	0	1
1439543644.135	267678	11	1	375	e	e	weqppe	17.68	662.22	weqppe	Random	375	0	1
1439543644.884	267678	11	2	749	q	q	weqppe	17.68	662.22	weqppe	Random	1124	0	1
1439543646.069	267678	11	3	1184	p	p	weqppe	17.68	662.22	weqppe	Random	2309	0	1
1439543646.225	267678	11	4	155	p	p	weqppe	17.68	662.22	weqppe	Random	2464	0	1
1439543646.475	267678	11	5	250	e	e	weqppe	17.68	662.22	weqppe	Random	2714	0	1
1439543648.128	267678	12	0	0	p	p	psdrwk	12.93	1015.28	psdrwk	Random	0	0	1
1439543648.534	267678	12	1	405	s	s	psdrwk	12.93	1015.28	psdrwk	Random	405	0	1
1439543649.033	267678	12	2	499	d	d	psdrwk	12.93	1015.28	psdrwk	Random	904	0	1
1439543651.155	267678	12	3	2121	r	r	psdrwk	12.93	1015.28	psdrwk	Random	3026	0	1
1439543651.529	267678	12	4	374	w	w	psdrwk	12.93	1015.28	psdrwk	Random	3401	0	1
1439543651.841	267678	12	5	312	k	k	psdrwk	12.93	1015.28	psdrwk	Random	3713	0	1
1439543653.682	267678	13	0	0	w	w	vwmbqq	6.52	1392.68	vwmbqq	Random	0	0	0.75
1439543656.74	267678	13	1	3058		BackSpace	vwmbqq	6.52	1392.68	vwmbqq	Random	3058	0	0.75
1439543657.239	267678	13	2	499	v	v	vwmbqq	6.52	1392.68	vwmbqq	Random	3557	0	0.75
1439543657.582	267678	13	3	342	w	w	vwmbqq	6.52	1392.68	vwmbqq	Random	3900	0	0.75
1439543658.518	267678	13	4	935	m	m	vwmbqq	6.52	1392.68	vwmbqq	Random	4835	0	0.75
1439543659.516	267678	13	5	998	b	b	vwmbqq	6.52	1392.68	vwmbqq	Random	5834	0	0.75
1439543660.92	267678	13	6	1404	q	q	vwmbqq	6.52	1392.68	vwmbqq	Random	7238	0	0.75
1439543661.045	267678	13	7	125	q	q	vwmbqq	6.52	1392.68	vwmbqq	Random	7363	0	0.75
1439543663.51	267678	14	0	0	v	v	vrphmee	14.57	790.2	vrphmee	Random	0	0	1
1439543664.072	267678	14	1	562	r	r	vrphmee	14.57	790.2	vrphmee	Random	562	0	1
1439543665.257	267678	14	2	1184	p	p	vrphmee	14.57	790.2	vrphmee	Random	1746	0	1
1439543666.006	267678	14	3	749	h	h	vrphmee	14.57	790.2	vrphmee	Random	2496	0	1
1439543667.16	267678	14	4	1154	m	m	vrphmee	14.57	790.2	vrphmee	Random	3650	0	1
1439543667.504	267678	14	5	343	e	e	vrphmee	14.57	790.2	vrphmee	Random	3993	0	1
1439543667.628	267678	14	6	124	e	e	vrphmee	14.57	790.2	vrphmee	Random	4118	0	1
1439543669.719	267678	15	0	0	l	l	lctddy	16.03	712.53	lctddy	Random	0	0	1
1439543670.156	267678	15	1	436	c	c	lctddy	16.03	712.53	lctddy	Random	436	0	1
1439543670.967	267678	15	2	811	t	t	lctddy	16.03	712.53	lctddy	Random	1247	0	1
1439543672.215	267678	15	3	1247	d	d	lctddy	16.03	712.53	lctddy	Random	2495	0	1
1439543672.402	267678	15	4	187	d	d	lctddy	16.03	712.53	lctddy	Random	2682	0	1
1439543672.714	267678	15	5	312	y	y	lctddy	16.03	712.53	lctddy	Random	2994	0	1
1439543675.304	267678	16	0	0	j	j	jflurm	15.38	819.59	jflurm	Random	0	0	1
1439543675.928	267678	16	1	624	f	f	jflurm	15.38	819.59	jflurm	Random	624	0	1
1439543677.581	267678	16	2	1653	l	l	jflurm	15.38	819.59	jflurm	Random	2277	0	1
1439543677.862	267678	16	3	280	u	u	jflurm	15.38	819.59	jflurm	Random	2558	0	1
1439543678.143	267678	16	4	280	r	r	jflurm	15.38	819.59	jflurm	Random	2838	0	1
1439543678.424	267678	16	5	281	m	m	jflurm	15.38	819.59	jflurm	Random	3120	0	1
1439543680.264	267678	17	0	0	o	o	ohrswt	13.49	812.24	ohrswt	Random	0	0	1
1439543681.076	267678	17	1	812	h	h	ohrswt	13.49	812.24	ohrswt	Random	812	0	1
1439543681.824	267678	17	2	747	r	r	ohrswt	13.49	812.24	ohrswt	Random	1559	0	1
1439543682.136	267678	17	3	312	s	s	ohrswt	13.49	812.24	ohrswt	Random	1871	0	1
1439543683.509	267678	17	4	1373	w	w	ohrswt	13.49	812.24	ohrswt	Random	3245	0	1
1439543683.821	267678	17	5	312	t	t	ohrswt	13.49	812.24	ohrswt	Random	3557	0	1
1439543685.568	267678	18	0	0	y	y	yrchgp	9.99	1132.21	yrchgp	Random	0	0	1
1439543687.378	267678	18	1	1809	r	r	yrchgp	9.99	1132.21	yrchgp	Random	1809	0	1
1439543688.158	267678	18	2	779	c	c	yrchgp	9.99	1132.21	yrchgp	Random	2589	0	1
1439543688.626	267678	18	3	467	h	h	yrchgp	9.99	1132.21	yrchgp	Random	3057	0	1
1439543690.124	267678	18	4	1498	g	g	yrchgp	9.99	1132.21	yrchgp	Random	4555	0	1
1439543690.373	267678	18	5	248	p	p	yrchgp	9.99	1132.21	yrchgp	Random	4804	0	1
1439543692.245	267678	19	0	0	p	p	prtowz	13.04	831.75	prtowz	Random	0	0	1
1439543692.651	267678	19	1	406	r	r	prtowz	13.04	831.75	prtowz	Random	406	0	1
1439543693.431	267678	19	2	779	t	t	prtowz	13.04	831.75	prtowz	Random	1186	0	1
1439543693.992	267678	19	3	561	o	o	prtowz	13.04	831.75	prtowz	Random	1747	0	1
1439543694.46	267678	19	4	467	w	w	prtowz	13.04	831.75	prtowz	Random	2215	0	1
1439543695.927	267678	19	5	1467	z	z	prtowz	13.04	831.75	prtowz	Random	3682	0	1
1439543697.705	267678	20	0	0	e	e	evvphq	13.86	735.4	evvphq	Random	0	0	1
1439543698.579	267678	20	1	874	v	v	evvphq	13.86	735.4	evvphq	Random	874	0	1
