input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1439468046.85	934313	0	0	0	d	d	dawuva	45.28	218.7	dawuva	Random	0	0	1
1439468047.068	934313	0	1	218	a	a	dawuva	45.28	218.7	dawuva	Random	218	0	1
1439468047.255	934313	0	2	187	w	w	dawuva	45.28	218.7	dawuva	Random	405	0	1
1439468047.567	934313	0	3	311	u	u	dawuva	45.28	218.7	dawuva	Random	717	0	1
1439468047.754	934313	0	4	187	v	v	dawuva	45.28	218.7	dawuva	Random	904	0	1
1439468047.91	934313	0	5	156	a	a	dawuva	45.28	218.7	dawuva	Random	1060	0	1
1439468059.08	934313	1	0	0	o	o	oahpnh	17.69	541.88	oahpnh	Random	0	0	1
1439468059.298	934313	1	1	218	a	a	oahpnh	17.69	541.88	oahpnh	Random	218	0	1
1439468059.486	934313	1	2	187	h	h	oahpnh	17.69	541.88	oahpnh	Random	406	0	1
1439468059.954	934313	1	3	467	p	p	oahpnh	17.69	541.88	oahpnh	Random	874	0	1
1439468060.89	934313	1	4	936	n	n	oahpnh	17.69	541.88	oahpnh	Random	1810	0	1
1439468061.046	934313	1	5	155	h	h	oahpnh	17.69	541.88	oahpnh	Random	1966	0	1
1439468066.1	934313	2	0	0	y	y	yrchgp	18.99	579.42	yrchgp	Random	0	0	1
1439468066.287	934313	2	1	187	r	r	yrchgp	18.99	579.42	yrchgp	Random	187	0	1
1439468066.662	934313	2	2	375	c	c	yrchgp	18.99	579.42	yrchgp	Random	562	0	1
1439468067.629	934313	2	3	967	h	h	yrchgp	18.99	579.42	yrchgp	Random	1529	0	1
1439468068.315	934313	2	4	686	g	g	yrchgp	18.99	579.42	yrchgp	Random	2215	0	1
1439468068.627	934313	2	5	312	p	p	yrchgp	18.99	579.42	yrchgp	Random	2527	0	1
1439468072.309	934313	3	0	0	v	v	vtljjo	22.63	335.06	vtljjo	Random	0	0	0.75
1439468072.496	934313	3	1	187	y	y	vtljjo	22.63	335.06	vtljjo	Random	187	0	0.75
1439468072.964	934313	3	2	467		BackSpace	vtljjo	22.63	335.06	vtljjo	Random	654	0	0.75
1439468073.214	934313	3	3	250	t	t	vtljjo	22.63	335.06	vtljjo	Random	904	0	0.75
1439468073.557	934313	3	4	342	l	l	vtljjo	22.63	335.06	vtljjo	Random	1247	0	0.75
1439468074.087	934313	3	5	529	j	j	vtljjo	22.63	335.06	vtljjo	Random	1777	0	0.75
1439468074.181	934313	3	6	94	j	j	vtljjo	22.63	335.06	vtljjo	Random	1871	0	0.75
1439468074.43	934313	3	7	249	o	o	vtljjo	22.63	335.06	vtljjo	Random	2121	0	0.75
1439468078.486	934313	4	0	0	j	j	jflurm	32.72	305.57	jflurm	Random	0	0	1
1439468078.83	934313	4	1	343	f	f	jflurm	32.72	305.57	jflurm	Random	343	0	1
1439468079.048	934313	4	2	218	l	l	jflurm	32.72	305.57	jflurm	Random	562	0	1
1439468079.485	934313	4	3	436	u	u	jflurm	32.72	305.57	jflurm	Random	998	0	1
1439468079.703	934313	4	4	218	r	r	jflurm	32.72	305.57	jflurm	Random	1217	0	1
1439468079.953	934313	4	5	250	m	m	jflurm	32.72	305.57	jflurm	Random	1467	0	1
1439468084.009	934313	5	0	0	e	e	evvphq	33.45	303.85	evvphq	Random	0	0	1
1439468084.29	934313	5	1	280	v	v	evvphq	33.45	303.85	evvphq	Random	280	0	1
1439468084.414	934313	5	2	124	v	v	evvphq	33.45	303.85	evvphq	Random	404	0	1
1439468084.695	934313	5	3	280	p	p	evvphq	33.45	303.85	evvphq	Random	685	0	1
1439468085.132	934313	5	4	437	h	h	evvphq	33.45	303.85	evvphq	Random	1122	0	1
1439468085.444	934313	5	5	312	q	q	evvphq	33.45	303.85	evvphq	Random	1434	0	1
1439468089.375	934313	6	0	0	s	s	svhslb	20.79	557.16	svhslb	Random	0	0	1
1439468089.625	934313	6	1	250	v	v	svhslb	20.79	557.16	svhslb	Random	250	0	1
1439468089.843	934313	6	2	217	h	h	svhslb	20.79	557.16	svhslb	Random	467	0	1
1439468090.904	934313	6	3	1061	s	s	svhslb	20.79	557.16	svhslb	Random	1529	0	1
1439468091.372	934313	6	4	467	l	l	svhslb	20.79	557.16	svhslb	Random	1996	0	1
1439468091.684	934313	6	5	312	b	b	svhslb	20.79	557.16	svhslb	Random	2309	0	1
1439468095.022	934313	7	0	0	z	z	zydfzz	30.77	344.6	zydfzz	Random	0	0	1
1439468095.241	934313	7	1	218	y	y	zydfzz	30.77	344.6	zydfzz	Random	218	0	1
1439468095.553	934313	7	2	312	d	d	zydfzz	30.77	344.6	zydfzz	Random	530	0	1
1439468096.114	934313	7	3	561	f	f	zydfzz	30.77	344.6	zydfzz	Random	1092	0	1
1439468096.458	934313	7	4	343	z	z	zydfzz	30.77	344.6	zydfzz	Random	1435	0	1
1439468096.582	934313	7	5	124	z	z	zydfzz	30.77	344.6	zydfzz	Random	1559	0	1
1439468099.515	934313	8	0	0	o	o	odkfey	32.04	317.59	odkfey	Random	0	0	1
1439468100.014	934313	8	1	498	d	d	odkfey	32.04	317.59	odkfey	Random	498	0	1
1439468100.233	934313	8	2	219	k	k	odkfey	32.04	317.59	odkfey	Random	717	0	1
1439468100.545	934313	8	3	312	f	f	odkfey	32.04	317.59	odkfey	Random	1029	0	1
1439468100.763	934313	8	4	217	e	e	odkfey	32.04	317.59	odkfey	Random	1247	0	1
1439468101.013	934313	8	5	250	y	y	odkfey	32.04	317.59	odkfey	Random	1497	0	1
1439468106.723	934313	9	0	0	k	k	khpzgp	18.54	616.14	khpzgp	Random	0	0	1
1439468107.222	934313	9	1	498	h	h	khpzgp	18.54	616.14	khpzgp	Random	498	0	1
1439468107.409	934313	9	2	187	p	p	khpzgp	18.54	616.14	khpzgp	Random	685	0	1
1439468108.563	934313	9	3	1154	z	z	khpzgp	18.54	616.14	khpzgp	Random	1839	0	1
1439468108.969	934313	9	4	406	g	g	khpzgp	18.54	616.14	khpzgp	Random	2246	0	1
1439468109.312	934313	9	5	342	p	p	khpzgp	18.54	616.14	khpzgp	Random	2588	0	1
1439468112.245	934313	10	0	0	u	u	uogkww	21.37	593.97	uogkww	Random	0	0	1
1439468112.495	934313	10	1	250	o	o	uogkww	21.37	593.97	uogkww	Random	250	0	1
1439468112.838	934313	10	2	343	g	g	uogkww	21.37	593.97	uogkww	Random	593	0	1
1439468114.055	934313	10	3	1217	k	k	uogkww	21.37	593.97	uogkww	Random	1810	0	1
1439468114.335	934313	10	4	279	w	w	uogkww	21.37	593.97	uogkww	Random	2090	0	1
1439468114.491	934313	10	5	155	w	w	uogkww	21.37	593.97	uogkww	Random	2246	0	1
1439468119.515	934313	11	0	0	b	b	blpsdt	22.3	504.23	blpsdt	Random	0	0	1
1439468119.733	934313	11	1	217	l	l	blpsdt	22.3	504.23	blpsdt	Random	217	0	1
1439468119.858	934313	11	2	125	p	p	blpsdt	22.3	504.23	blpsdt	Random	342	0	1
1439468120.731	934313	11	3	872	s	s	blpsdt	22.3	504.23	blpsdt	Random	1215	0	1
1439468121.262	934313	11	4	531	d	d	blpsdt	22.3	504.23	blpsdt	Random	1746	0	1
1439468121.667	934313	11	5	404	t	t	blpsdt	22.3	504.23	blpsdt	Random	2151	0	1
1439468124.694	934313	12	0	0	o	o	ohrswt	30.17	327.56	ohrswt	Random	0	0	1
1439468124.975	934313	12	1	280	h	h	ohrswt	30.17	327.56	ohrswt	Random	280	0	1
1439468125.255	934313	12	2	280	r	r	ohrswt	30.17	327.56	ohrswt	Random	561	0	1
1439468125.63	934313	12	3	375	s	s	ohrswt	30.17	327.56	ohrswt	Random	936	0	1
1439468125.848	934313	12	4	217	w	w	ohrswt	30.17	327.56	ohrswt	Random	1154	0	1
1439468126.285	934313	12	5	437	t	t	ohrswt	30.17	327.56	ohrswt	Random	1591	0	1
1439468129.873	934313	13	0	0	v	v	vrphmee	37.71	281.08	vrphmee	Random	0	0	1
1439468130.154	934313	13	1	281	r	r	vrphmee	37.71	281.08	vrphmee	Random	281	0	1
1439468130.403	934313	13	2	249	p	p	vrphmee	37.71	281.08	vrphmee	Random	530	0	1
1439468130.809	934313	13	3	405	h	h	vrphmee	37.71	281.08	vrphmee	Random	936	0	1
1439468131.152	934313	13	4	342	m	m	vrphmee	37.71	281.08	vrphmee	Random	1279	0	1
1439468131.339	934313	13	5	187	e	e	vrphmee	37.71	281.08	vrphmee	Random	1466	0	1
1439468131.464	934313	13	6	125	e	e	vrphmee	37.71	281.08	vrphmee	Random	1591	0	1
1439468135.208	934313	14	0	0	j	j	jaolwh	26.52	398.61	jaolwh	Random	0	0	1
1439468135.614	934313	14	1	406	a	a	jaolwh	26.52	398.61	jaolwh	Random	406	0	1
1439468135.801	934313	14	2	187	o	o	jaolwh	26.52	398.61	jaolwh	Random	593	0	1
1439468136.144	934313	14	3	342	l	l	jaolwh	26.52	398.61	jaolwh	Random	936	0	1
1439468136.799	934313	14	4	654	w	w	jaolwh	26.52	398.61	jaolwh	Random	1591	0	1
1439468137.018	934313	14	5	218	h	h	jaolwh	26.52	398.61	jaolwh	Random	1809	0	1
1439468140.918	934313	15	0	0	x	x	xlndns	38.46	254.96	xlndns	Random	0	0	1
1439468141.199	934313	15	1	280	l	l	xlndns	38.46	254.96	xlndns	Random	280	0	1
1439468141.479	934313	15	2	280	n	n	xlndns	38.46	254.96	xlndns	Random	561	0	1
1439468141.791	934313	15	3	311	d	d	xlndns	38.46	254.96	xlndns	Random	872	0	1
1439468141.979	934313	15	4	188	n	n	xlndns	38.46	254.96	xlndns	Random	1061	0	1
1439468142.166	934313	15	5	186	s	s	xlndns	38.46	254.96	xlndns	Random	1247	0	1
1439468146.159	934313	16	0	0	y	y	ynuyqx	23.67	443.94	ynuyqx	Random	0	0	1
1439468146.409	934313	16	1	250	n	n	ynuyqx	23.67	443.94	ynuyqx	Random	250	0	1
1439468146.659	934313	16	2	250	u	u	ynuyqx	23.67	443.94	ynuyqx	Random	500	0	1
1439468147.158	934313	16	3	499	y	y	ynuyqx	23.67	443.94	ynuyqx	Random	999	0	1
1439468147.875	934313	16	4	717	q	q	ynuyqx	23.67	443.94	ynuyqx	Random	1716	0	1
1439468148.187	934313	16	5	312	x	x	ynuyqx	23.67	443.94	ynuyqx	Random	2028	0	1
1439468151.713	934313	17	0	0	b	b	bnadtv	33.45	326.05	bnadtv	Random	0	0	1
1439468152.025	934313	17	1	312	n	n	bnadtv	33.45	326.05	bnadtv	Random	312	0	1
1439468152.119	934313	17	2	93	a	a	bnadtv	33.45	326.05	bnadtv	Random	405	0	1
1439468152.368	934313	17	3	249	d	d	bnadtv	33.45	326.05	bnadtv	Random	654	0	1
1439468152.93	934313	17	4	562	t	t	bnadtv	33.45	326.05	bnadtv	Random	1217	0	1
1439468153.148	934313	17	5	217	v	v	bnadtv	33.45	326.05	bnadtv	Random	1434	0	1
1439468157.142	934313	18	0	0	o	o	odcdpu	29.04	345.4	odcdpu	Random	0	0	1
1439468157.36	934313	18	1	217	d	d	odcdpu	29.04	345.4	odcdpu	Random	217	0	1
1439468157.672	934313	18	2	312	c	c	odcdpu	29.04	345.4	odcdpu	Random	529	0	1
1439468158.047	934313	18	3	375	d	d	odcdpu	29.04	345.4	odcdpu	Random	904	0	1
1439468158.546	934313	18	4	499	p	p	odcdpu	29.04	345.4	odcdpu	Random	1404	0	1
1439468158.795	934313	18	5	249	u	u	odcdpu	29.04	345.4	odcdpu	Random	1653	0	1
1439468165.316	934313	19	0	0	p	p	pshegog	20.03	584.85	pshegog	Random	0	0	1
1439468165.878	934313	19	1	562	s	s	pshegog	20.03	584.85	pshegog	Random	562	0	1
1439468166.595	934313	19	2	717	h	h	pshegog	20.03	584.85	pshegog	Random	1279	0	1
1439468167.625	934313	19	3	1029	e	e	pshegog	20.03	584.85	pshegog	Random	2309	0	1
1439468167.906	934313	19	4	280	g	g	pshegog	20.03	584.85	pshegog	Random	2589	0	1
1439468168.093	934313	19	5	187	o	o	pshegog	20.03	584.85	pshegog	Random	2776	0	1
1439468168.311	934313	19	6	218	g	g	pshegog	20.03	584.85	pshegog	Random	2995	0	1
1439468173.74	934313	20	0	0	h	h	hyohcy	27.97	360.33	hyohcy	Random	0	0	1
1439468173.896	934313	20	1	155	y	y	hyohcy	27.97	360.33	hyohcy	Random	155	0	1
1439468174.395	934313	20	2	499	o	o	hyohcy	27.97	360.33	hyohcy	Random	654	0	1
